Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
Chris Paul\paulch01,2006,2020,G,6-1,175,May 6 1985,Wake Forest
Charlie Paulk\paulkch01,1969,1972,F-C,6-8,219,June 14 1946,Northeastern State University
Jerry Paulson\paulsje01,1958,1958,G,6-2,185,July 21 1935,Manhattan College
Billy Paultz\paultbi01,1971,1985,C-F,6-11,235,July 30 1948,Cameron University St. John's
Sasha Pavlović\pavloal01,2004,2013,G-F,6-8,220,November 15 1983,
Jim Paxson\paxsoji01,1957,1958,F-G,6-6,200,December 19 1932,Dayton
Jim Paxson\paxsoji02,1980,1990,G-F,6-6,200,July 9 1957,Dayton
John Paxson\paxsojo01,1984,1994,G,6-2,185,September 29 1960,Notre Dame
Johnny Payak\payakjo01,1950,1953,G-F,6-4,174,November 20 1926,Bowling Green
Adreian Payne\paynead01,2015,2018,F-C,6-10,237,February 19 1991,Michigan State
Cameron Payne\payneca01,2016,2019,G,6-3,190,August 8 1994,Murray State
Kenny Payne\payneke01,1990,1993,F-G,6-8,195,November 25 1966,Louisville
Tom Payne\payneto01,1972,1972,C,7-2,240,November 19 1950,Kentucky
Elfrid Payton\paytoel01,2015,2020,G,6-3,185,February 22 1994,LA-Lafayette
Gary Payton\paytoga01,1991,2007,G,6-4,180,July 23 1968,Oregon State
Gary Payton\paytoga02,2017,2019,G,6-3,190,December 1 1992,Oregon State
Mel Payton\paytome01,1952,1953,F-G,6-4,185,July 16 1926,Tulane
George Pearcy\pearcge01,1947,1947,G,6-1,165,July 2 1919,Indiana State University
Henry Pearcy\pearche01,1947,1947,G,6-1,170,July 21 1922,Indiana State University
Oleksiy Pecherov\pecheol01,2008,2010,C,7-0,232,December 8 1985,
Wiley Peck\peckwi01,1980,1980,G,6-7,220,September 15 1957,Mississippi State
Rich Peek\peekri01,1968,1968,C,6-11,230,October 28 1943,Florida Louisiana Tech
Anthony Peeler\peelean01,1993,2005,G,6-4,208,November 25 1969,Missouri
George Peeples\peeplge01,1968,1973,C-F,6-7,190,October 30 1943,Iowa
Nikola Peković\pekovni01,2011,2016,C,6-11,307,January 3 1986,
Jake Pelkington\pelkija01,1949,1949,C-F,6-6,220,January 3 1916,Manhattan College
Norvel Pelle\pelleno01,2020,2020,F-C,6-10,216,February 3 1993,
Sam Pellom\pellosa01,1980,1983,F-C,6-9,225,October 2 1951,Buffalo
Mike Penberthy\penbemi01,2001,2002,G,6-3,185,November 29 1974,Master's College
Jerry Pender\pendeje01,1974,1974,G,6-2,185,February 12 1950,Fresno State
Desmond Penigar\penigde01,2004,2004,F,6-7,245,July 16 1981,Utah State University
Kirk Penney\penneki01,2004,2005,G,6-5,220,November 23 1980,Wisconsin
Mike Peplowski\peplomi01,1994,1996,C,6-10,270,October 15 1970,Michigan State
Will Perdue\perduwi01,1989,2001,C,7-0,240,August 29 1965,Vanderbilt
Kendrick Perkins\perkike01,2004,2018,C,6-10,270,November 10 1984,
Sam Perkins\perkisa01,1985,2001,F-C,6-9,235,June 14 1961,UNC
Warren Perkins\perkiwa01,1950,1951,G-F,6-3,190,February 2 1922,Tulane
Kosta Perović\perovko01,2008,2008,C,7-2,240,February 19 1985,
London Perrantes\perralo01,2018,2018,G,6-2,200,October 3 1994,Virginia
Aulcie Perry\perryau01,1975,1975,C,6-10,210,July 3 1950,Bethune-Cookman College
Curtis Perry\perrycu01,1971,1978,F,6-7,220,September 13 1948,Missouri State University
Elliot Perry\perryel01,1992,2002,G,6-0,150,March 28 1969,Memphis
Ron Perry\perryro01,1968,1970,G,6-3,190,December 29 1943,Virginia Tech
Tim Perry\perryti01,1989,1996,F-C,6-9,200,June 4 1965,Temple
Chuck Person\persoch01,1987,2000,F,6-8,220,June 27 1964,Auburn
Wesley Person\persowe01,1995,2005,G,6-6,195,March 28 1971,Auburn
Alec Peters\peteral01,2018,2018,F,6-9,232,April 13 1995,Valparaiso
Jim Petersen\peterji01,1985,1992,F-C,6-10,235,February 22 1962,Minnesota
Loy Petersen\peterlo01,1969,1970,G,6-5,205,July 26 1945,Oregon State
Bob Peterson\peterbo01,1954,1956,F,6-5,210,January 25 1932,Oregon
Ed Peterson\petered01,1950,1951,C,6-9,220,June 27 1924,Cornell
Mel Peterson\peterme01,1964,1970,G-F,6-4,185,March 23 1938,Wheaton College
Morris Peterson\petermo01,2001,2011,F,6-7,218,August 26 1977,Michigan State
Geoff Petrie\petrige01,1971,1976,G,6-4,190,April 17 1948,Princeton
Johan Petro\petrojo01,2006,2013,C,7-0,247,January 27 1986,
Dražen Petrović\petrodr01,1990,1993,G,6-5,195,October 22 1964,
Richard Petruška\petruri01,1994,1994,C-F,6-10,260,January 25 1969,Loyola Marymount University UCLA
Bob Pettit\pettibo01,1955,1965,F-C,6-9,205,December 12 1932,LSU
Jerry Pettway\pettwje01,1968,1969,G-F,6-3,185,February 13 1944,Northwood Institute
Roger Phegley\pheglro01,1979,1984,G-F,6-6,205,October 16 1956,Bradley
Jack Phelan\phelaja01,1950,1950,F,6-5,195,November 6 1925,DePaul
James Phelan\phelaja02,1954,1954,G,6-1,175,March 19 1929,La Salle
Derrick Phelps\phelpde01,1995,1995,G,6-4,181,July 31 1972,UNC
Michael Phelps\phelpmi01,1986,1988,G,6-4,180,October 3 1961,Alcorn State University
Andy Phillip\phillan01,1948,1958,G-F,6-2,195,March 7 1922,Illinois
Eddie Phillips\philled01,1983,1983,F,6-7,225,September 29 1961,Alabama
Gary Phillips\phillga01,1962,1966,G,6-3,189,December 7 1939,Houston
Gene Phillips\phillge01,1972,1973,G,6-4,175,October 25 1948,SMU
Bobby Phills\phillbo01,1992,2000,G,6-5,210,December 20 1969,Southern University and A&M College
Eric Piatkowski\piatker01,1995,2008,G-F,6-7,215,September 30 1970,Nebraska
Walter Piatkowski\piatkwa01,1969,1972,F,6-8,220,June 11 1945,Bowling Green
Paul Pierce\piercpa01,1999,2017,F-G,6-7,235,October 13 1977,Kansas
Ricky Pierce\piercri01,1983,1998,G,6-4,205,August 19 1959,Rice University
Stan Pietkiewicz\pietkst01,1979,1981,G-F,6-5,200,July 14 1956,Auburn
Mickaël Piétrus\pietrmi01,2004,2013,G-F,6-6,215,February 7 1982,
John Pilch\pilchjo01,1952,1952,F,6-3,185,July 11 1925,Wyoming
Ed Pinckney\pincked01,1986,1997,F,6-9,195,March 27 1963,Villanova
Kevinn Pinkney\pinknke01,2007,2007,F,6-10,245,October 20 1983,Nevada
John Pinone\pinonjo01,1984,1984,F,6-8,230,February 19 1961,Villanova
Theo Pinson\pinsoth01,2019,2020,G,6-5,212,November 5 1995,UNC
Dave Piontek\piontda01,1957,1963,F-C,6-6,230,August 27 1934,Xavier
Tom Piotrowski\piotrto01,1984,1984,C,7-1,240,October 17 1960,La Salle
Scottie Pippen\pippesc01,1988,2004,F-G,6-8,210,September 25 1965,University of Central Arkansas
Charles Pittman\pittmch01,1983,1986,F,6-8,220,March 23 1958,Maryland
Dexter Pittman\pittmde01,2011,2014,C,6-11,308,March 2 1988,Texas
Zoran Planinić\planizo01,2004,2006,G,6-7,195,September 12 1982,
Tibor Pleiß\pleisti01,2016,2016,C,7-3,256,November 2 1989,
Marshall Plumlee\plumlma02,2017,2018,C,7-0,250,July 14 1992,Duke
Mason Plumlee\plumlma01,2014,2020,C-F,6-11,238,March 5 1990,Duke
Miles Plumlee\plumlmi01,2013,2019,C-F,6-11,249,September 1 1988,Duke
Gary Plummer\plummga01,1985,1993,F-C,6-9,215,February 21 1962,Boston University
Pavel Podkolzin\podkopa01,2005,2006,C,7-5,260,January 15 1985,
Vincent Poirier\poirivi01,2020,2020,C,7-0,235,October 17 1993,
Dwayne Polee\poleedw01,1987,1987,G,6-5,180,March 2 1963,UNLV Pepperdine
Jim Pollard\pollaji01,1949,1955,F-C,6-4,185,July 9 1922,Stanford
Scot Pollard\pollasc01,1998,2008,C,6-11,265,February 12 1975,Kansas
Ralph Polson\polsora01,1953,1953,F-C,6-7,200,October 26 1929,Whitworth
Jakob Pöltl\poeltja01,2017,2020,C,7-1,230,October 15 1995,Utah
Olden Polynice\polynol01,1988,2004,C-F,6-11,220,November 21 1964,Virginia
Cliff Pondexter\pondecl01,1976,1978,F-C,6-9,233,September 15 1954,Cal State Long Beach
Quincy Pondexter\pondequ01,2011,2019,G-F,6-7,230,March 10 1988,Washington
Shamorie Ponds\pondssh01,2020,2020,G,6-0,180,June 29 1998,St. John's
Jordan Poole\poolejo01,2020,2020,G,6-4,195,June 19 1999,Michigan
David Pope\popeda01,1985,1986,F,6-7,220,April 15 1962,Norfolk State
Mark Pope\popema01,1998,2005,F,6-10,235,September 11 1972,Washington Kentucky
Dave Popson\popsoda01,1989,1992,F-C,6-10,220,May 17 1964,UNC
Ben Poquette\poquebe01,1978,1987,F-C,6-9,235,May 7 1955,Central Michigan University
Chris Porter\portech01,2001,2001,F,6-7,218,May 9 1978,Auburn
Howard Porter\porteho01,1972,1978,F-C,6-8,220,August 31 1948,Villanova
Kevin Porter\porteke01,1973,1983,G,6-0,170,April 17 1950,Saint Francis University
Kevin Porter\porteke02,2020,2020,G,6-4,216,May 4 2000,USC
Michael Porter\portemi01,2020,2020,F,6-10,215,June 29 1998,Missouri
Otto Porter\porteot01,2014,2020,F,6-8,198,June 3 1993,Georgetown
Terry Porter\portete01,1986,2002,G,6-3,195,April 8 1963,University of Wisconsin-Stevens Point
Willie Porter\portewi01,1968,1969,F,6-7,205,July 3 1942,Tennessee State
Bobby Portis\portibo01,2016,2020,F,6-10,246,February 10 1995,Arkansas
Bob Portman\portmbo01,1970,1973,F,6-5,200,March 22 1947,Creighton
Kristaps Porziņģis\porzikr01,2016,2020,F-C,7-3,240,August 2 1995,
James Posey\poseyja01,2000,2011,F-G,6-8,215,January 13 1977,Xavier
Lavor Postell\postela01,2001,2003,G,6-5,215,February 26 1978,St. John's
John Postley\postljo01,1968,1968,F,6-5,220,May 30 1940,Bethune-Cookman College
Vitaly Potapenko\potapvi01,1997,2007,C,6-10,280,March 21 1975,Wright State University
Leon Powe\powele01,2007,2011,F,6-8,240,January 22 1984,California
Cincinnatus Powell\powelci01,1968,1975,F-C,6-7,220,February 25 1942,University of Portland
Dwight Powell\poweldw01,2015,2020,F-C,6-10,240,July 20 1991,Stanford
Josh Powell\poweljo01,2006,2014,F,6-9,225,January 25 1983,NC State
Kasib Powell\powelka01,2008,2008,F,6-7,215,March 18 1981,Texas Tech
Norman Powell\powelno01,2016,2020,G,6-3,215,May 25 1993,UCLA
Roger Powell\powelro01,2007,2007,F,6-6,235,January 15 1983,Illinois
Alex Poythress\poythal01,2017,2019,F,6-9,235,September 6 1993,Kentucky
Marlbert Pradd\praddma01,1968,1969,G,6-3,170,November 17 1944,Dillard University
Mike Pratt\prattmi01,1971,1972,G-F,6-4,195,August 4 1948,Kentucky
Paul Pressey\presspa01,1983,1993,G-F,6-5,185,December 24 1958,Tulsa
Phil Pressey\pressph01,2014,2016,G,5-11,175,February 17 1991,Missouri
Dominic Pressley\pressdo01,1989,1989,G,6-2,170,May 30 1964,Boston College
Harold Pressley\pressha01,1987,1990,F-G,6-7,210,July 14 1963,Villanova
Stephen Previs\previst01,1973,1973,G,6-3,183,February 9 1950,UNC
A.J. Price\priceaj01,2010,2015,G,6-2,181,October 7 1986,UConn
Brent Price\pricebr01,1993,2002,G,6-1,165,December 9 1968,South Carolina Oklahoma
Jim Price\priceji01,1973,1979,G,6-3,195,November 27 1949,Louisville
Mark Price\pricema01,1987,1998,G,6-0,170,February 15 1964,Georgia Tech
Mike Price\pricemi01,1971,1973,G,6-3,200,September 11 1948,Illinois
Ronnie Price\pricero01,2006,2017,G,6-2,190,June 21 1983,Nicholls State University Utah Valley State College
Tony Price\priceto01,1981,1981,G,6-6,190,January 5 1957,University of Pennsylvania
Bob Priddy\priddbo01,1953,1953,F,6-3,190,March 24 1930,New Mexico State
Pablo Prigioni\prigipa01,2013,2016,G,6-3,185,May 17 1977,
Tayshaun Prince\princta01,2003,2016,F,6-9,212,February 28 1980,Kentucky
John Pritchard\pritcjo01,1950,1950,C,6-9,220,January 23 1927,Drake University
Kevin Pritchard\pritcke01,1991,1996,G,6-3,180,July 17 1967,Kansas
Laron Profit\profila01,2000,2006,G-F,6-5,204,August 5 1977,Maryland
Gabe Pruitt\pruitga01,2008,2009,G,6-4,170,April 19 1986,USC
Joel Przybilla\przybjo01,2001,2013,C,7-1,255,October 10 1979,Minnesota
Les Pugh\pughle01,1949,1950,C-F,6-7,190,September 18 1922,Ohio State
Roy Pugh\pughro01,1949,1949,C-F,6-6,210,October 16 1922,SMU
Anthony Pullard\pullaan01,1993,1993,F,6-10,245,June 23 1966,McNeese State University
Jacob Pullen\pulleja01,2018,2018,G,6-1,200,November 10 1989,Kansas State
Rodney Purvis\purviro01,2018,2018,G,6-4,205,February 14 1994,UConn
Don Putman\putnado01,1947,1950,G,6-1,170,November 13 1922,University of Denver
