Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
Dick Triptow\triptdi01,1949,1950,G-F,6-0,170,November 3 1922,DePaul
Kelly Tripucka\tripuke01,1982,1991,F-G,6-6,220,February 16 1959,Notre Dame
Ansley Truitt\truitan01,1973,1973,C,6-9,215,August 24 1950,California
Cezary Trybański\trybace01,2003,2004,C,7-2,240,September 22 1979,
Jake Tsakalidis\tsakaja01,2001,2007,C,7-2,285,June 10 1979,
John Tschogl\tschojo01,1973,1975,F,6-6,206,April 25 1950,UC Santa Barbara
Lou Tsioropoulos\tsiorlo01,1957,1959,F,6-5,190,August 31 1930,Kentucky
Nikoloz Tskitishvili\tskitni01,2003,2006,F,7-0,225,April 14 1983,
Al Tucker\tuckeal01,1968,1972,F,6-8,190,February 24 1943,Oklahoma Baptist University
Alando Tucker\tuckeal02,2008,2010,F,6-6,205,February 11 1984,Wisconsin
Anthony Tucker\tuckean01,1995,1995,F,6-8,220,April 4 1969,Georgetown Wake Forest
Jim Tucker\tuckeji01,1955,1957,F,6-7,185,December 11 1932,Duquesne
P.J. Tucker\tuckepj01,2007,2020,F,6-5,245,May 5 1985,Texas
Trent Tucker\tucketr01,1983,1993,G,6-5,193,December 20 1959,Minnesota
Ronny Turiaf\turiaro01,2006,2015,F,6-10,249,January 13 1983,Gonzaga
Mirsad Türkcan\turkcmi01,2000,2000,F,6-9,236,June 7 1976,
Hedo Türkoğlu\turkohe01,2001,2015,F,6-10,220,March 19 1979,
Andre Turner\turnean01,1987,1992,G,5-11,160,December 13 1964,Memphis
Bill Turner\turnebi01,1968,1973,F,6-7,220,February 18 1944,University of Akron
Elston Turner\turneel01,1982,1989,G-F,6-5,190,June 10 1959,Ole Miss
Evan Turner\turneev01,2011,2020,G,6-6,220,October 27 1988,Ohio State
Gary Turner\turnega01,1968,1968,F,6-7,200,,TCU
Henry Turner\turnehe02,1990,1995,G-F,6-7,200,August 18 1966,California State University Fullerton
Herschell Turner\turnehe01,1968,1968,G,6-2,195,March 29 1938,Nebraska
Jack Turner\turneja01,1955,1955,F-G,6-4,170,June 29 1930,Western Kentucky
Jack Turner\turneja02,1962,1962,G-F,6-5,200,June 5 1939,Louisville
Jeff Turner\turneje01,1985,1996,F-C,6-9,230,April 9 1962,Vanderbilt
John Turner\turnejo01,1992,1992,F,6-8,245,November 30 1967,Georgetown Phillips University
Myles Turner\turnemy01,2016,2020,C-F,6-11,250,March 24 1996,Texas
Wayne Turner\turnewa01,2000,2000,G,6-2,190,March 22 1976,Kentucky
Melvin Turpin\turpime01,1985,1990,C,6-11,240,December 28 1960,Kentucky
Dave Twardzik\twardda01,1973,1980,G,6-1,175,September 20 1950,Old Dominion
Jack Twyman\twymaja01,1956,1966,F-G,6-6,210,May 11 1934,Cincinnati
B.J. Tyler\tylerbj01,1995,1995,G,6-1,185,April 30 1971,DePaul Texas
Jeremy Tyler\tylerje01,2012,2014,C,6-10,260,June 21 1991,
Terry Tyler\tylerte01,1979,1989,F-G,6-7,215,October 30 1956,Detroit Mercy
Charlie Tyra\tyrach01,1958,1962,C-F,6-8,230,August 16 1935,Louisville
