Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
T.J. McConnell\mccontj01,2016,2020,G,6-1,190,March 25 1992,Duquesne Arizona
Keith McCord\mccorke01,1981,1981,G,6-7,210,June 22 1957,Alabama University of Alabama at Birmingham
Tim McCormick\mccorti01,1985,1992,C,6-11,240,March 10 1962,Michigan
Jelani McCoy\mccoyje01,1999,2008,C,6-10,245,December 6 1977,UCLA
Paul McCracken\mccrapa01,1973,1977,G,6-4,180,September 11 1950,California State University Northridge
Chris McCray\mccrach01,2007,2007,G,6-5,192,May 27 1984,Maryland
Rodney McCray\mccraro01,1984,1993,F-G,6-7,220,August 29 1961,Louisville
Scooter McCray\mccrasc01,1984,1987,F-G,6-9,215,February 8 1960,Louisville
Erik McCree\mccreer01,2018,2018,F,6-7,219,December 20 1993,Louisiana Tech
Chris McCullough\mcculch01,2016,2018,F,6-11,200,February 5 1995,Syracuse
John McCullough\mcculjo01,1982,1982,G,6-4,190,October 5 1956,Oklahoma
Clint McDaniel\mcdancl01,1996,1996,G,6-4,180,February 26 1972,Arkansas
Xavier McDaniel\mcdanxa01,1986,1998,F,6-7,205,June 4 1963,Wichita State
Jalen McDaniels\mcdanja01,2020,2020,F,6-10,192,January 31 1998,San Diego State
Jim McDaniels\mcdanji01,1972,1978,C-F,6-11,228,April 2 1948,Western Kentucky
K.J. McDaniels\mcdankj01,2015,2017,G-F,6-6,205,February 9 1993,Clemson
Doug McDermott\mcderdo01,2015,2020,F,6-7,225,January 3 1992,Creighton
Ben McDonald\mcdonbe01,1986,1989,F,6-8,210,July 20 1962,University of California Irvine
Glenn McDonald\mcdongl01,1975,1977,F-G,6-6,190,March 18 1952,Cal State Long Beach
Michael McDonald\mcdonmi01,1998,1998,C,6-10,232,February 13 1969,Utah Valley State College New Orleans
Roderick McDonald\mcdonro01,1971,1973,F,6-6,205,April 9 1945,Whitworth
Hank McDowell\mcdowha01,1982,1987,F-C,6-9,215,November 13 1959,Memphis
Antonio McDyess\mcdyean01,1996,2011,F-C,6-9,220,September 7 1974,Alabama
Jim McElroy\mcelrji01,1976,1982,G,6-3,190,October 4 1953,Central Michigan University
Patrick McFarland\mcfarpa01,1974,1976,F-G,6-5,185,December 7 1951,Saint Joseph's
Ivan McFarlin\mcfariv01,2007,2007,F,6-8,240,April 26 1982,Oklahoma State
Mel McGaha\mcgahme01,1949,1949,G,6-1,190,September 26 1926,Arkansas
Mitch McGary\mcgarmi01,2015,2016,F-C,6-10,255,June 6 1992,Michigan
JaVale McGee\mcgeeja01,2009,2020,C,7-0,270,January 19 1988,Nevada
Mike McGee\mcgeemi01,1982,1990,G-F,6-5,190,July 29 1959,Michigan
Bill McGill\mcgilbi01,1963,1970,C-F,6-9,225,September 16 1939,Utah
George McGinnis\mcginge01,1972,1982,F-C,6-8,235,August 12 1950,Indiana
Jon McGlocklin\mcglojo01,1966,1976,G-F,6-5,205,June 10 1943,Indiana
Tracy McGrady\mcgratr01,1998,2012,F-G,6-8,210,May 24 1979,
Gil McGregor\mcgregi01,1972,1972,F,6-8,240,June 14 1949,Wake Forest
Elton McGriff\mcgriel01,1968,1969,C,6-9,225,August 21 1942,Creighton
Rodney McGruder\mcgruro01,2017,2020,G,6-4,200,July 29 1991,Kansas State
Alfred McGuire\mcguial01,1952,1955,G-F,6-2,180,September 7 1928,St. John's
Allie McGuire\mcguial02,1974,1974,G,6-3,175,July 10 1951,Marquette
Dick McGuire\mcguidi01,1950,1960,G,6-0,180,January 25 1926,St. John's
Dominic McGuire\mcguido01,2008,2013,F,6-9,220,October 20 1985,California Fresno State
Kevin McHale\mchalke01,1981,1993,F-C,6-10,210,December 19 1957,Minnesota
Maurice McHartley\mcharma01,1968,1970,G-F,6-3,185,August 1 1942,North Carolina A&T
Jim McIlvaine\mcilvji01,1995,2001,C,7-1,240,July 30 1972,Marquette
Jeff McInnis\mcinnje01,1997,2008,G,6-4,190,October 22 1974,UNC
Kenny McIntosh\mcintke01,1972,1975,F,6-7,225,January 21 1949,Eastern Michigan
Bob McIntyre\mcintbo01,1968,1970,F,6-6,215,January 23 1944,St. John's
Jerry McKee\mckeeje01,1970,1970,G,6-3,190,August 4 1946,Ohio University
Kevin McKenna\mckenke01,1982,1988,G-F,6-5,195,January 8 1959,Creighton
Forrest McKenzie\mckenfo01,1987,1987,F,6-7,200,February 16 1963,Loyola Marymount University
Stan McKenzie\mckenst01,1968,1974,F-G,6-5,195,October 6 1944,NYU
Derrick McKey\mckeyde01,1988,2002,F-C,6-9,205,October 10 1966,Alabama
Aaron McKie\mckieaa01,1995,2007,G,6-5,209,October 2 1972,Temple
Billy McKinney\mckinbi01,1979,1986,G,6-0,160,June 5 1955,Northwestern
Bones McKinney\mckinbo01,1947,1952,F-C,6-6,185,January 1 1919,UNC
Carlton McKinney\mckinca01,1990,1992,G,6-4,190,October 21 1964,Tulsa SMU
Trey McKinney-Jones\mckintr01,2018,2018,G,6-5,214,August 27 1990,Miami (FL)
Alfonzo McKinnie\mckinal01,2018,2020,F,6-7,215,September 17 1992,Green Bay
Jordan McLaughlin\mclaujo01,2020,2020,G,5-11,170,April 9 1996,USC
Ben McLemore\mclembe01,2014,2020,G,6-3,195,February 11 1993,Kansas
McCoy McLemore\mclemmc01,1965,1972,F-C,6-7,230,April 3 1942,Drake University
George McLeod\mcleoge01,1953,1953,F,6-5,200,January 3 1931,TCU
Keith McLeod\mcleoke01,2004,2007,G,6-2,188,November 5 1979,Bowling Green
Roshown McLeod\mcleoro01,1999,2001,F,6-8,221,November 17 1975,St. John's Duke
Jack McMahon\mcmahja01,1953,1960,G,6-1,185,December 3 1928,St. John's
Nate McMillan\mcmilna01,1987,1998,G-F,6-5,195,August 3 1964,NC State
Tom McMillen\mcmilto01,1976,1986,F-C,6-11,215,May 26 1952,Maryland
Jim McMillian\mcmilji01,1971,1979,F,6-5,215,March 11 1948,Columbia University
Shellie McMillon\mcmilsh01,1959,1962,F,6-5,205,March 11 1936,Bradley
Mal McMullen\mcmulma01,1950,1951,F-C,6-5,210,August 23 1927,Xavier
Chet McNabb\mcnabch01,1948,1948,F,6-2,200,September 19 1920,Arizona State
Mark McNamara\mcnamma01,1983,1991,C-F,6-11,235,June 8 1959,Santa Clara California
Joe McNamee\mcnamjo01,1951,1952,F-C,6-6,210,September 24 1926,San Francisco
Jerel McNeal\mcneaje01,2015,2015,G,6-3,200,June 1 1987,Marquette
Chris McNealy\mcneach01,1986,1988,F,6-7,210,July 15 1961,San Jose State
Bob McNeill\mcneibo01,1961,1962,G,6-1,170,October 22 1938,Saint Joseph's
Larry McNeill\mcneila01,1974,1979,F-C,6-9,195,January 31 1951,Marquette
Carl McNulty\mcnulca01,1955,1955,G,6-3,185,February 14 1930,Purdue
Paul McPherson\mcphepa01,2001,2001,G,6-4,210,July 3 1978,DePaul
Roy McPipe\mcpipro01,1975,1975,G,6-3,205,May 5 1950,Montana State University Billings
Cozell McQueen\mcqueco01,1987,1987,F,6-11,235,January 18 1962,NC State
Jordan McRae\mcraejo01,2016,2020,G,6-5,179,March 28 1991,Tennessee
Thales McReynolds\mcreyth01,1966,1966,G,6-3,185,June 8 1943,Miles College
Josh McRoberts\mcrobjo01,2008,2018,F,6-10,240,February 28 1987,Duke
Eric McWilliams\mcwiler01,1973,1973,F,6-8,200,April 18 1950,Cal State Long Beach
George Mearns\mearnge01,1947,1948,F,6-3,175,April 18 1922,Rhode Island
Stanislav Medvedenko\medvest01,2001,2007,F,6-10,250,April 4 1979,
Darnell Mee\meeda01,1994,1995,G,6-5,175,February 11 1971,Western Kentucky
Jodie Meeks\meeksjo01,2010,2019,G,6-4,210,August 21 1987,Kentucky
Cliff Meely\meelycl01,1972,1976,F-C,6-8,215,July 10 1947,Colorado
Scott Meents\meentsc01,1990,1991,F,6-10,225,January 4 1964,Illinois
Dick Mehen\mehendi01,1950,1952,F-C,6-5,195,May 20 1922,Tennessee
Monk Meineke\meinemo01,1953,1958,F-C,6-7,208,October 30 1930,Dayton
Carl Meinhold\meinhca01,1948,1949,G-F,6-2,185,March 29 1926,Long Island University
Salah Mejri\mejrisa01,2016,2019,C,7-2,235,June 15 1986,
Gal Mekel\mekelga01,2014,2015,G,6-3,191,March 4 1988,Wichita State
Bill Melchionni\melchbi01,1967,1976,G,6-1,165,October 19 1944,Villanova
Gary Melchionni\melchga01,1974,1975,G,6-2,185,January 19 1951,Duke
Nicolò Melli\mellini01,2020,2020,F,6-9,235,January 26 1991,
Fab Melo\melofa01,2013,2013,C,7-0,255,June 20 1990,Syracuse
De'Anthony Melton\meltode01,2019,2020,G,6-2,200,May 28 1998,USC
Ed Melvin\melvied01,1947,1947,G,5-9,170,February 13 1916,Duquesne
Dean Meminger\meminde01,1972,1977,G,6-0,175,May 13 1948,Marquette
Chuck Mencel\mencech01,1956,1957,G,6-0,168,April 21 1933,Minnesota
John Mengelt\mengejo01,1972,1981,G,6-2,195,October 16 1949,Auburn
Ken Menke\menkeke01,1950,1950,G,6-0,168,October 2 1922,Illinois
Pops Mensah-Bonsu\mensapo01,2007,2011,F,6-9,240,September 7 1983,George Washington
Dewitt Menyard\menyade01,1968,1968,C,6-10,210,May 24 1944,Utah
Ron Mercer\mercero01,1998,2005,G-F,6-7,210,May 18 1976,Kentucky
Joe Meriweather\meriwjo01,1976,1985,C-F,6-10,215,October 26 1953,Southern Illinois
Porter Meriwether\meriwpo01,1963,1963,G,6-2,180,March 16 1940,Tennessee State
Tom Meschery\meschto01,1962,1971,F,6-6,215,October 26 1938,Saint Mary's
Chimezie Metu\metuch01,2019,2020,F,6-9,225,March 22 1997,USC
Bill Meyer\meyerbi01,1968,1968,G,6-3,195,August 30 1943,Hiram College
Loren Meyer\meyerlo01,1996,1999,C,6-10,257,December 30 1972,Iowa State
Dave Meyers\meyerda01,1976,1980,F-C,6-8,215,April 21 1953,UCLA
Stan Miasek\miasest01,1947,1953,C-F,6-5,210,September 19 1923,
Larry Micheaux\michela01,1984,1985,F,6-9,220,March 24 1960,Houston
Jordan Mickey\mickejo01,2016,2018,F,6-8,235,July 9 1994,LSU
Khris Middleton\middlkh01,2013,2020,F-G,6-7,222,August 12 1991,Texas A&M
Red Mihalik\mihalre01,1947,1947,G,6-0,180,September 22 1916,
Chris Mihm\mihmch01,2001,2009,C,7-0,265,July 16 1979,Texas
Ed Mikan\mikaned01,1949,1954,C-F,6-8,230,October 20 1925,DePaul
George Mikan\mikange01,1949,1956,C,6-10,245,June 18 1924,DePaul
Larry Mikan\mikanla01,1971,1971,F,6-7,210,April 8 1948,Minnesota
Vern Mikkelsen\mikkeve01,1950,1959,F-C,6-7,230,October 21 1928,Hamline University
Al Miksis\miksial01,1950,1950,C,6-7,210,February 2 1928,Western Illinois University
Aaron Miles\milesaa01,2006,2006,G,6-1,175,April 13 1983,Kansas
C.J. Miles\milescj01,2006,2020,G-F,6-6,220,March 18 1987,
Darius Miles\milesda01,2001,2009,F,6-9,210,October 9 1981,
Eddie Miles\milesed01,1964,1972,G-F,6-4,195,July 5 1940,Seattle University
Marko Milič\milicma01,1998,1999,G-F,6-6,235,May 7 1977,
Darko Miličić\milicda01,2004,2013,F-C,7-0,250,June 20 1985,
Nat Militzok\militna01,1947,1947,F,6-3,195,May 3 1923,Cornell
Andre Miller\millean02,2000,2016,G,6-3,200,March 19 1976,Utah
Anthony Miller\millean01,1995,2005,F,6-9,225,October 22 1971,Michigan State
Bill Miller\millebi01,1949,1949,F,6-3,190,November 24 1924,UNC
Bob Miller\millebo01,1984,1984,F,6-10,230,July 9 1956,Cincinnati
Brad Miller\millebr01,1999,2012,C,6-11,244,April 12 1976,Purdue
Darius Miller\milleda01,2013,2019,F,6-6,225,March 21 1990,Kentucky
Dick Miller\milledi01,1981,1981,F,6-6,215,April 26 1958,Toledo
Eddie Miller\milleed01,1953,1954,C-F,6-8,225,June 18 1931,Syracuse
Harry Miller\milleha01,1947,1947,C-F,6-4,230,July 28 1923,UNC
Jay Miller\milleja01,1968,1971,F,6-5,205,July 19 1943,Notre Dame
Larry Miller\millela01,1969,1975,G-F,6-4,190,April 4 1946,UNC
Malcolm Miller\millema01,2018,2020,F,6-7,210,March 6 1993,Holy Cross
Mike Miller\millemi01,2001,2017,F-G,6-8,218,February 19 1980,Florida
Oliver Miller\milleol01,1993,2004,C,6-9,280,April 6 1970,Arkansas
Quincy Miller\millequ01,2013,2015,F,6-9,210,November 18 1992,Baylor
Reggie Miller\millere01,1988,2005,G-F,6-7,185,August 24 1965,UCLA
Walt Miller\millewa01,1947,1947,F,6-2,190,July 20 1915,Duquesne
Chris Mills\millsch01,1994,2003,F,6-6,215,January 25 1970,Kentucky Arizona
John Mills\millsjo01,1947,1947,C-F,6-8,203,September 7 1919,Western Kentucky
Patty Mills\millspa02,2010,2020,G,6-1,180,August 11 1988,Saint Mary's
Terry Mills\millste01,1991,2001,F,6-10,230,December 21 1967,Michigan
Elijah Millsap\millsel01,2015,2017,G-F,6-6,225,August 12 1987,LA-Lafayette University of Alabama at Birmingham
Paul Millsap\millspa01,2007,2020,F,6-7,250,February 10 1985,Louisiana Tech
Shake Milton\miltosh01,2019,2020,G,6-5,207,September 26 1996,SMU
Harold Miner\minerha01,1993,1996,G,6-5,210,May 5 1971,USC
Yao Ming\mingya01,2003,2011,C,7-6,310,September 12 1980,
Dirk Minniefield\minnidi01,1986,1988,G,6-3,180,January 17 1961,Kentucky
Dave Minor\minorda01,1952,1953,G-F,6-2,185,February 23 1922,UCLA
Greg Minor\minorgr01,1995,1999,G-F,6-6,210,September 18 1971,Louisville
Mark Minor\minorma01,1973,1973,F,6-6,215,May 14 1950,Ohio State
Nikola Mirotić\mirotni01,2015,2019,F,6-10,250,February 11 1991,
Wat Misaka\misakwa01,1948,1948,G,5-7,150,December 21 1923,Utah
Jason Miskiri\miskija01,2000,2000,G,6-2,175,August 19 1975,George Mason University
Donovan Mitchell\mitchdo01,2018,2020,G,6-1,215,September 7 1996,Louisville
Leland Mitchell\mitchle01,1968,1968,G,6-4,210,February 22 1941,Mississippi State
Mike Mitchell\mitchmi01,1979,1988,F,6-7,215,January 1 1956,Auburn
Murray Mitchell\mitchmu01,1950,1950,C,6-6,,March 19 1923,Sam Houston State University
Sam Mitchell\mitchsa01,1990,2002,F,6-6,210,September 2 1963,Mercer University
Todd Mitchell\mitchto01,1989,1989,F,6-7,205,July 26 1966,Purdue
Tony Mitchell\mitchto03,2014,2014,F,6-6,216,August 7 1989,Alabama
Tony Mitchell\mitchto02,2014,2014,F,6-8,235,April 7 1992,University of North Texas
Naz Mitrou-Long\mitrona01,2018,2020,G,6-3,218,August 3 1993,Iowa State
Steve Mix\mixst01,1970,1983,F,6-7,215,December 30 1947,Toledo
Bill Mlkvy\mlkvybi01,1953,1953,F,6-4,190,January 19 1931,Temple
Cuttino Mobley\moblecu01,1999,2009,G,6-4,190,September 1 1975,Rhode Island
Eric Mobley\mobleer01,1995,1997,C,6-11,235,February 1 1970,Pitt
